t (s),V (mV);;;
153.873,6.1733;;;#вхякн!
154.873,6.1248;;;#вхякн!
155.874,6.1184;;;#вхякн!
156.874,6.1028;;;#вхякн!
157.874,6.0223;;;#вхякн!
158.873,6.0163;;;#вхякн!
159.873,5.9711;;;#вхякн!
160.873,5.9;;;#вхякн!
161.873,5.9251;;;#вхякн!
162.873,5.8854;;;#вхякн!
163.873,5.8716;;;#вхякн!
164.873,5.8607;;;#вхякн!
165.874,5.7887;;;#вхякн!
166.879,5.7903;;;#вхякн!
167.873,5.7614;;;#вхякн!
168.873,5.7017;;;#вхякн!
169.873,5.6853;;5,68;1,736951233
170.873,5.6543;;;#вхякн!
171.873,5.6529;;;#вхякн!
172.879,5.5726;;;#вхякн!
173.873,5.6023;;;#вхякн!
174.873,5.5461;;;#вхякн!
175.873,5.5283;;;#вхякн!
176.874,5.4969;;;#вхякн!
177.874,5.433;;;#вхякн!
178.878,5.4311;;;#вхякн!
179.873,5.386;;;#вхякн!
180.874,5.3748;;;#вхякн!
181.874,5.3308;;;#вхякн!
182.873,5.3299;;;#вхякн!
183.874,5.2999;;;#вхякн!
184.873,5.2766;;;#вхякн!
185.874,5.2038;;;#вхякн!
186.873,5.1995;;;#вхякн!
187.874,5.1428;;;#вхякн!
188.874,5.1326;;;#вхякн!
189.873,5.0824;;5,08;1,625311262
190.873,5.0866;;;
191.874,5.0909;;;
192.873,5.0405;;;
193.873,5.0067;;;
