t (s),V (mV);;;;;;
132.141,11.3974;;;;#вхякн!;;
133.142,11.3574;;;;#вхякн!;;
134.142,11.3601;;;;#вхякн!;;
135.142,11.3602;;;;#вхякн!;;
136.141,11.3309;;;;#вхякн!;;
137.142,11.3134;;;;#вхякн!;;
138.142,11.3099;;;;#вхякн!;;
139.142,11.2977;;;;#вхякн!;;
140.142,11.2641;;11,26;140;2,421256623;;
141.142,11.2754;;;;#вхякн!;;
142.142,11.2779;;;;#вхякн!;;
143.141,11.2214;;;;#вхякн!;;
144.142,11.2455;;;;#вхякн!;;
145.142,11.203;;;;#вхякн!;;
146.142,11.1944;;;;#вхякн!;;
147.143,11.2127;;;;#вхякн!;;
148.142,11.1681;;;;#вхякн!;;
149.142,11.1457;;;;#вхякн!;;
150.142,11.1311;;;;#вхякн!;;
151.142,11.118;;;;#вхякн!;;
152.141,11.1105;;;;#вхякн!;;
153.142,11.0979;;;;#вхякн!;;
154.142,11.1143;;;;#вхякн!;;
155.141,11.0567;;;;#вхякн!;;
156.142,11.0707;;;;#вхякн!;;
157.142,11.0821;;;;#вхякн!;;
158.142,11.0493;;;;#вхякн!;;
159.142,11.0541;;;;#вхякн!;;
160.142,11.0093;;11;160;2,397895273;;
161.141,11.0133;;;;#вхякн!;;
162.147,11.0137;;;;#вхякн!;;
163.141,10.9802;;;;#вхякн!;;
164.142,10.983;;;;#вхякн!;;
165.142,10.9445;;;;#вхякн!;;
166.141,10.9602;;;;#вхякн!;;
167.142,10.9256;;;;#вхякн!;;
168.141,10.931;;;;#вхякн!;;
169.142,10.8909;;;;#вхякн!;;
170.142,10.887;;;;#вхякн!;;
171.142,10.8667;;;;#вхякн!;;
172.142,10.8552;;;;#вхякн!;;
173.141,10.854;;;;#вхякн!;;
174.143,10.7889;;;;#вхякн!;;
175.141,10.8215;;;;#вхякн!;;
176.142,10.8088;;;;#вхякн!;;
177.141,10.8155;;;;#вхякн!;;
178.142,10.8147;;;;#вхякн!;;
179.142,10.8065;;;;#вхякн!;;
180.142,10.7807;;10,78;180;2,377692565;;
181.142,10.7544;;;;#вхякн!;;
182.142,10.7635;;;;#вхякн!;;
183.142,10.757;;;;#вхякн!;;
184.142,10.7091;;;;#вхякн!;;
185.142,10.6775;;;;#вхякн!;;
186.142,10.6442;;;;#вхякн!;;
187.141,10.6648;;;;#вхякн!;;
188.141,10.6382;;;;#вхякн!;;
189.142,10.6429;;;;#вхякн!;;
