t (s),V (mV);;;;;;;;;;;;;;
0,13.8347;;13,83;2,626840146;0;;;;;;;;;;
1.015,13.8194;;;#вхякн!;;;;;;;;;;;
2.016,13.8122;;;#вхякн!;;;;;;;;;;;
3.016,13.8112;;;#вхякн!;;;;;;;;;;;
4.016,13.7999;;;#вхякн!;;;;;;;;;;;
5.016,13.7992;;;;;;;;;;;;;;
6.016,13.7774;;;;;;;;;;;;;;
7.016,13.7639;;;;;;;;;;;;;;
8.016,13.7042;;;;;;;;;;;;;;
9.016,13.7148;;;;;;;;;;;;;;
10.015,13.7195;;13,71;2,618125494;;;;;;;;;;;
11.016,13.7034;;;;;;;;;;;;;;
12.015,13.6767;;;;;;;;;;;;;;
13.016,13.6691;;;;;;;;;;;;;;
14.016,13.6693;;;;;;;;;;;;;;
15.016,13.6432;;;;;;;;;;;;;;
16.015,13.6111;;;#вхякн!;;;;;;;;;;;
17.015,13.5642;;;#вхякн!;;;;;;;;;;;
18.016,13.5624;;;#вхякн!;;;;;;;;;;;
19.015,13.5633;;;#вхякн!;;;;;;;;;;;
20.016,13.5415;;13,54;2,605648267;20;;;;;;;;;;
21.016,13.5256;;;#вхякн!;;;;;;;;;;;
22.017,13.4896;;;#вхякн!;;;;;;;;;;;
23.016,13.4693;;;#вхякн!;;;;;;;;;;;
24.016,13.4526;;;#вхякн!;;;;;;;;;;;
25.016,13.4504;;;#вхякн!;;;;;;;;;;;
26.016,13.416;;;#вхякн!;;;;;;;;;;;
27.016,13.3944;;;#вхякн!;;;;;;;;;;;
28.016,13.3842;;;#вхякн!;;;;;;;;;;;
29.016,13.3608;;;#вхякн!;;;;;;;;;;;
30.016,13.3106;;13,31;2,588515632;;;;;;;;;;;
31.022,13.2861;;;#вхякн!;;;;;;;;;;;
32.016,13.2699;;;#вхякн!;;;;;;;;;;;
33.016,13.2515;;;#вхякн!;;;;;;;;;;;
34.015,13.2548;;;#вхякн!;;;;;;;;;;;
35.016,13.2163;;;#вхякн!;;;;;;;;;;;
36.016,13.1992;;;#вхякн!;;;;;;;;;;;
37.016,13.1858;;;#вхякн!;;;;;;;;;;;
38.016,13.1714;;;#вхякн!;;;;;;;;;;;
39.016,13.146;;;#вхякн!;;;;;;;;;;;
40.015,13.1941;;13,19;2,579458967;40;;;;;;;;;;
